Node,Lower,Upper
n345,1983.510759,1993.543172
n346,1987.326763,1996.065793
n347,1991.609745,2001.692326
n348,2000.836129,2006.586811
n349,2001.837308,2008.264813
n350,2003.300391,2007.590395
n351,2004.942406,2007.960196
n352,2004.012914,2008.586183
n353,1988.247784,1996.68719
n354,1991.501152,2000.574337
n355,1994.852585,2003.462683
n356,1998.559651,2005.713144
n357,2000.927642,2007.118769
n358,1990.778211,1998.649643
n359,1991.706619,1999.288381
n360,1992.657901,2000.047075
n361,1993.59427,2000.771254
n362,1994.547188,2001.6624
n363,1996.273078,2004.728863
n364,1999.188057,2008.599822
n365,1995.84445,2006.071819
n366,1992.231976,2005.068219
n367,1998.36705,2009.22971
n368,1983.180257,1995.161852
n369,1984.51735,1996.089688
n370,1985.628064,1997.196117
n371,1997.575765,2003.589396
n372,2000.794196,2004.739666
n373,1999.06232,2005.583071
n374,2000.209185,2007.075897
n375,1992.377375,2002.569695
n376,1994.603198,2004.151779
n377,2002.246886,2006.727075
n378,1974.836586,1988.346496
n379,1978.836501,1992.85798
n380,1989.462479,2000.911696
n381,1997.526066,2004.372979
n382,1999.818552,2008.026969
n383,1980.003514,1992.690054
n384,1984.342777,1995.767064
n385,1991.609187,1999.154709
n386,1992.984819,2000.317551
n387,1994.097187,2001.248597
n388,1995.055865,2002.068
n389,1995.961169,2002.847956
n390,1996.916514,2003.629337
n391,1997.731537,2004.340762
n392,1998.643691,2005.778041
n393,1992.588977,1999.941415
n394,1993.931624,2002.336328
n395,1994.83903,2003.458114
n396,1998.104893,2007.410501
n397,1993.292428,2000.61546
n398,1995.937001,2002.870299
n399,1998.026531,2004.649532
n400,1990.745579,2007.205526
n401,1942.098528,1962.935647
n402,1948.489379,1969.255338
n403,1976.486713,1992.939612
n404,1989.275985,1998.396469
n405,1990.550805,1999.122186
n406,1992.508162,2000.432779
n407,1993.724061,2001.159798
n408,1995.077275,2002.60597
n409,1996.57727,2005.214998
n410,1997.471515,2006.378065
n411,1996.764775,2004.488553
n412,1966.605434,1984.457567
n413,1976.232069,1990.908438
n414,1980.402528,1993.839051
n415,1985.689306,1997.44732
n416,1987.955463,1999.112002
n417,1991.249515,2001.576151
n418,2001.565564,2004.842524
n419,1970.159759,1988.568703
n420,1943.283947,1963.993863
n421,1954.282831,1973.837586
n422,1993.338181,2001.278471
n423,1998.570989,2007.835853
n424,1964.902822,1981.476337
n425,1966.267311,1982.454638
n426,1967.276692,1983.26012
n427,1982.311726,1998.059054
n428,1997.918624,2006.06723
n429,1998.992858,2006.740802
n430,1977.6959,1991.098639
n431,1980.646425,1993.210181
n432,1990.291504,1999.515826
n433,1993.743843,2001.251688
n434,1989.252167,2000.108243
n435,1972.901363,1990.936447
n436,1926.703131,1957.737323
n437,1950.296703,1978.854671
n438,1929.474857,1959.842762
n439,1948.560088,1974.872293
n440,1961.115202,1985.334654
n58,1800.223892,1869.584004
